word,artist,title,url,count
niggas,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,1306
was,kendrick,Alright (BET Version),https://genius.com/Kendrick-lamar-alright-bet-version-lyrics,1260
at,kendrick,We Cry Together,https://genius.com/Kendrick-lamar-and-taylour-paige-we-cry-together-lyrics,1241
and,kendrick,6:16 in LA,,1230
my,kendrick,"Sing About Me, I’m Dying of Thirst",,1207
see,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,1138
go,kendrick,We Cry Together,https://genius.com/Kendrick-lamar-and-taylour-paige-we-cry-together-lyrics,1130
love,kendrick,GOOD CREDIT,https://genius.com/Playboi-carti-and-kendrick-lamar-good-credit-lyrics,1127
from,kendrick,Rapper Shit,https://genius.com/Ab-soul-and-kendrick-lamar-rapper-shit-lyrics,1124
back,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,1108
then,kendrick,Black Hippy,https://genius.com/Jay-rock-black-hippy-lyrics,1068
off,kendrick,Mother (Mother I Sober Demo),https://genius.com/Kendrick-lamar-mother-mother-i-sober-demo-lyrics,1022
me,kendrick,"Sing About Me, I’m Dying of Thirst",,1021
he,kendrick,We Cry Together,https://genius.com/Kendrick-lamar-and-taylour-paige-we-cry-together-lyrics,1004
em,kendrick,Vent / Scary Ass,https://genius.com/Baby-keem-and-kendrick-lamar-vent-scary-ass-lyrics,1002
one,kendrick,Alright (Music Video),https://genius.com/Kendrick-lamar-alright-music-video-lyrics,990
tell,kendrick,Pumped Up Kicks (Remix),https://genius.com/Kendrick-lamar-pumped-up-kicks-remix-lyrics,972
she,kendrick,Determined,https://genius.com/Kendrick-lamar-determined-lyrics,964
to,kendrick,Money Trees,,950
not,kendrick,Not Like Us (Mixed),https://genius.com/Kendrick-lamar-not-like-us-mixed-lyrics,949
say,kendrick,Toca Tuesdays Freestyle,https://genius.com/Black-hippy-toca-tuesdays-freestyle-lyrics,948
down,kendrick,Big Guns,https://genius.com/Jay-rock-big-guns-lyrics,940
make,kendrick,Super Bowl LVI Halftime Show,https://genius.com/Dr-dre-snoop-dogg-eminem-mary-j-blige-and-kendrick-lamar-super-bowl-lvi-halftime-show-annotated,925
never,kendrick,Ridin’ Roun Town (Remix),https://genius.com/Casey-veggies-ridin-roun-town-remix-lyrics,909
it,kendrick,The Art of Peer Pressure,,894
time,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,887
want,kendrick,U.O.E.N.O (Megamix),https://genius.com/Rocko-uoeno-megamix-lyrics,867
them,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,862
life,kendrick,Nickerson Gardens Freestyle,https://genius.com/Kendrick-lamar-nickerson-gardens-freestyle-lyrics,856
in,kendrick,Sherane a.k.a Master Splinter’s Daughter,,834
wanna,kendrick,Bend Ya (Official),https://genius.com/Mann-bend-ya-official-lyrics,824
cause,kendrick,Welcome to C4,https://genius.com/Kendrick-lamar-welcome-to-c4-lyrics,819
need,kendrick,Misunderstood,https://genius.com/Kendrick-lamar-misunderstood-lyrics,817
how,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,809
way,kendrick,Thuggin’ (Remix),https://genius.com/Glasses-malone-thuggin-remix-lyrics,802
or,kendrick,Enjoy (West Coastin’),https://genius.com/9th-wonder-enjoy-west-coastin-lyrics,799
take,kendrick,Fire,https://genius.com/Sir-fire-lyrics,775
some,kendrick,Mother (Mother I Sober Demo),https://genius.com/Kendrick-lamar-mother-mother-i-sober-demo-lyrics,768
man,kendrick,Really Be (Smokin N Drinkin),https://genius.com/Yg-really-be-smokin-n-drinkin-lyrics,756
uh,kendrick,Rich Spirit and N95 (Live Performance on SNL),https://genius.com/Kendrick-lamar-rich-spirit-and-n95-live-performance-on-snl-lyrics,751
right,kendrick,Pocket Off (N95 Demo),https://genius.com/Kendrick-lamar-pocket-off-n95-demo-lyrics,735
that,kendrick,Money Trees,,723
these,kendrick,Determined,https://genius.com/Kendrick-lamar-determined-lyrics,721
him,kendrick,Big Guns,https://genius.com/Jay-rock-big-guns-lyrics,718
where,kendrick,Diary of a Broke Nigga,https://genius.com/Jay-rock-diary-of-a-broke-nigga-lyrics,699
been,kendrick,You Don’t Like,https://genius.com/Melo-kan-you-dont-like-lyrics,698
as,kendrick,Little Johnny,https://genius.com/Kendrick-lamar-little-johnny-lyrics,697
cant,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,696
oh,kendrick,Before I Commit Suicide,https://genius.com/Kendrick-lamar-before-i-commit-suicide-lyrics,695
of,kendrick,"Sing About Me, I’m Dying of Thirst",,686
her,kendrick,3 Minutes of Watts,https://genius.com/Kendrick-lamar-3-minutes-of-watts-lyrics,686
look,kendrick,Really Be (Smokin N Drinkin),https://genius.com/Yg-really-be-smokin-n-drinkin-lyrics,681
let,kendrick,Before I Commit Suicide,https://genius.com/Kendrick-lamar-before-i-commit-suicide-lyrics,660
about,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,653
us,kendrick,Not Like Us (Mixed),https://genius.com/Kendrick-lamar-not-like-us-mixed-lyrics,641
feel,kendrick,Hustla’s Story,https://genius.com/Cozz-hustlas-story-lyrics,627
put,kendrick,Kick In The Door,https://genius.com/Kendrick-lamar-and-jay-rock-kick-in-the-door-lyrics,627
im,kendrick,"Sing About Me, I’m Dying of Thirst",,624
his,kendrick,Pocket Off (N95 Demo),https://genius.com/Kendrick-lamar-pocket-off-n95-demo-lyrics,623
too,kendrick,GOOD CREDIT,https://genius.com/Playboi-carti-and-kendrick-lamar-good-credit-lyrics,616
