word,artist,title,url,count
see,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,654
not,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,653
baby,drake,Loving You No More,https://genius.com/Drake-loving-you-no-more-lyrics,645
when,drake,Elevate,,642
man,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,638
fuck,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,634
cant,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,632
be,drake,Buried Alive Interlude,,624
down,drake,City Is Mine,https://genius.com/Drake-city-is-mine-lyrics,619
no,drake,No Face,,613
shit,drake,Middle of the Ocean,,609
right,drake,Throw It In The Bag (Remix),https://genius.com/Fabolous-throw-it-in-the-bag-remix-lyrics,609
so,drake,NOKIA,,608
ft,drake,OVO Sound Radio Episode 9 Tracklist,https://genius.com/Drake-ovo-sound-radio-episode-9-tracklist-lyrics,606
need,drake,Throw It In The Bag (Remix),https://genius.com/Fabolous-throw-it-in-the-bag-remix-lyrics,603
want,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,590
what,drake,No Face,,589
now,drake,Peak,,588
oh,drake,2 Mazza,https://genius.com/Smiley-and-drake-2-mazza-lyrics,585
some,drake,SIRENS,https://genius.com/Travis-scott-sirens-lyrics,572
out,drake,Away From Home,,548
take,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,536
still,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,533
from,drake,Family Matters,https://genius.com/Drake-family-matters-lyrics,532
was,drake,Away From Home,,525
about,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,519
bitch,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,514
love,drake,Away From Home,,506
off,drake,Family Matters,https://genius.com/Drake-family-matters-lyrics,494
been,drake,Think Good Thoughts,https://genius.com/Drake-think-good-thoughts-lyrics,493
