id,label,artist,avg_sentiment_score,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score
drake - 6 Man,6 Man,drake,0.16052136,0.16916650801985741,0.08864338507521007,0.12667447821946723,0.03582453605901845,0.4479548991380614,0.06259701490801356,0.06913919590823792
drake - 6PM in New York,6PM in New York,drake,0.0273754102020202,0.16104846002976173,0.11346865669739514,0.05488575283071078,0.06005963755299972,0.43286854444504386,0.07169924521903419,0.10596970622098502
drake - 6th Sense,6th Sense,drake,-0.2409107479310345,0.17256789921044272,0.1099663899312245,0.03762311181896521,0.10685988430913276,0.4112040590623329,0.11906183744652257,0.042716831127422465
drake - 7/11 (Homecoming Live),7/11 (Homecoming Live),drake,-0.1927872090697674,0.32419906534947623,0.1094340472373851,0.05777293467233604,0.0400120177506577,0.3914263090876819,0.03260163000113392,0.044553993107361106
drake - 7969 Santa,7969 Santa,drake,-0.36423017396825397,0.2092248320224739,0.21733301670275745,0.028469105768534828,0.051895614959196035,0.35964028921628755,0.058760949942682425,0.0746761952297732
drake - 7am On Bridle Path,7am On Bridle Path,drake,-0.19348145561797753,0.13376784103849293,0.0784832303087865,0.044500592197396154,0.04988880949735825,0.5260220905347319,0.07026331017730397,0.09707412466647497
drake - 8 Out of 10,8 Out of 10,drake,0.10716029250000002,0.14005841208563646,0.05435231576848305,0.06427979331160058,0.08771178332348682,0.5085494670451486,0.0930650945748701,0.05198314249615314
drake - 8am in Charlotte,8am in Charlotte,drake,-0.15173170413793102,0.13658856933042618,0.12285645091745613,0.06632708578608691,0.07884158960666673,0.452782127096307,0.07082446350384199,0.07177972281552397
drake - 9,9,drake,0.16269831,0.1417546918572381,0.0859619328145717,0.0400884483404847,0.04559062100232161,0.4567709892208493,0.15924458683273468,0.070588729300991
drake - 9AM in Dallas,9AM in Dallas,drake,-0.05800273227272727,0.1740821310174369,0.16610331585053986,0.07429525729491032,0.05232810875432646,0.4172763781107003,0.0483091855862629,0.06760561280569877
drake - A Keeper,A Keeper,drake,-0.4311734488461539,0.4163606892599581,0.10807776637823101,0.04787316541366561,0.07015269235685428,0.261234456677742,0.03157668017621078,0.06472454187818441
drake - A Little Favour (GQ Freestyle),A Little Favour (GQ Freestyle),drake,0.08634573916666666,0.17879604535604202,0.18325787238427435,0.027399165154444394,0.11260674413400308,0.3865998327188815,0.062402908418637965,0.04893744395424918
drake - A Milli Freestyle,A Milli Freestyle,drake,0.19842888366666667,0.1368737082656783,0.07500323095979786,0.05581002018880095,0.06946775063988747,0.49616784787115953,0.09632380759964382,0.07035363443040595
